"","n","Coefficient","value","rescale"
"382","sdn","a",-4.06408260517787,1.76166347645674
"383","sdn","b",0.30537024062045,1.76166347645674
"384","sdn","c",-0.00572330803622479,1.76166347645674
"385","sen","a",-3.75661115908845,1.73625997710656
"386","sen","b",0.288068302998573,1.73625997710656
"387","sen","c",-0.00550943022161929,1.73625997710656
"388","sgp","a",-3.58174876426336,1.75448931455054
"389","sgp","b",0.280413855110298,1.75448931455054
"390","sgp","c",-0.00547576781831039,1.75448931455054
"391","slb","a",-3.63602337834485,1.69071268120342
"392","slb","b",0.278580124419563,1.69071268120342
"393","slb","c",-0.00532233288995639,1.69071268120342
"394","sle","a",-3.33231725685824,1.93796297995045
"395","sle","b",0.278645748210481,1.93796297995045
"396","sle","c",-0.00581491456655449,1.93796297995045
"397","slv","a",-3.50466719963618,1.89297634854791
"398","slv","b",0.285517133501909,1.89297634854791
"399","slv","c",-0.00580432681405668,1.89297634854791
"400","srb","a",-0.244497436157348,1.76133979640261
"401","srb","b",0.043235597369145,1.76133979640261
"402","srb","c",-0.00190634821702219,1.76133979640261
"403","stp","a",-3.69346939465266,1.74413965964407
"404","stp","b",0.285434382897498,1.74413965964407
"405","stp","c",-0.00550177613124087,1.74413965964407
"406","sur","a",-3.64517486518371,1.86829263516481
"407","sur","b",0.291527549439437,1.86829263516481
"408","sur","c",-0.00581762260484787,1.86829263516481
"409","svk","a",-0.247400045726802,1.74606373243411
"410","svk","b",0.0521769595696333,1.74606373243411
"411","svk","c",-0.00273371893761352,1.74606373243411
"412","svn","a",-0.260183923649105,1.80096801289327
"413","svn","b",0.053465953496027,1.80096801289327
"414","svn","c",-0.00273242994728498,1.80096801289327
"415","swe","a",-0.149604350603746,1.67369877446397
"416","swe","b",0.0474559671978099,1.67369877446397
"417","swe","c",-0.00367224179140505,1.67369877446397
"418","swz","a",-2.91886176411592,3.86944836253544
"419","swz","b",0.3190476824728,3.86944836253544
"420","swz","c",-0.00871588842648368,3.86944836253544
"421","tcd","a",-3.94461366796977,1.78134158869681
"422","tcd","b",0.300923494032787,1.78134158869681
"423","tcd","c",-0.00572656001895182,1.78134158869681
"424","tgo","a",-3.69001571607239,1.79531457225246
"425","tgo","b",0.288914139869673,1.79531457225246
"426","tgo","c",-0.00564306262287596,1.79531457225246
"427","tha","a",-3.51700062381352,1.91545794877509
"428","tha","b",0.287603608879906,1.91545794877509
"429","tha","c",-0.0058691690567541,1.91545794877509
"430","tjk","a",-0.162779101070029,1.566984241273
"431","tjk","b",0.0455779299344762,1.566984241273
"432","tjk","c",-0.0031230430184461,1.566984241273
"433","tls","a",-3.62609678819336,1.71556282747317
"434","tls","b",0.279908858318183,1.71556282747317
"435","tls","c",-0.00538850790584592,1.71556282747317
"436","tto","a",-3.38706750977288,1.8002990030898
"437","tto","b",0.27319039563508,1.8002990030898
"438","tto","c",-0.00549690425886305,1.8002990030898
"439","tun","a",-3.32707711068212,4.64793943290301
"440","tun","b",0.369741439832224,4.64793943290301
"441","tun","c",-0.0102704984446993,4.64793943290301
"442","tur","a",-0.0380463161561612,0.357449094921635
"443","tur","b",0.00575133821131732,0.357449094921635
"444","tur","c",-0.000217184169429628,0.357449094921635
"445","tza","a",-2.78520141394268,2.34631019844609
"446","tza","b",0.264461288274699,2.34631019844609
"447","tza","c",-0.006271314922171,2.34631019844609
"448","uga","a",-3.11668153146297,2.17965290537619
"449","uga","b",0.278646221159321,2.17965290537619
"450","uga","c",-0.00622022141491437,2.17965290537619
"451","ukr","a",-0.251316459377081,1.74982469659967
"452","ukr","b",0.0514580971992092,1.74982469659967
"453","ukr","c",-0.00261935138869112,1.74982469659967
"454","ury","a",-2.25693974772029,3.25454525846967
"455","ury","b",0.250703111849075,3.25454525846967
"456","ury","c",-0.00695907776822316,3.25454525846967
"457","usa","a",-0.0720399468754112,0.816785096269602
"458","usa","b",0.0110196393829517,0.816785096269602
"459","usa","c",-0.000421096051071036,0.816785096269602
"460","uzb","a",-0.685415349610079,2.53653356184857
"461","uzb","b",0.0938429551558608,2.53653356184857
"462","uzb","c",-0.00321145666882495,2.53653356184857
"463","vct","a",-3.30457232584327,1.81342180080201
"464","vct","b",0.269538369409741,1.81342180080201
"465","vct","c",-0.00548473613480248,1.81342180080201
"466","vnm","a",-3.41347776472578,2.18813466662782
"467","vnm","b",0.297146919586944,2.18813466662782
"468","vnm","c",-0.00645866174799394,2.18813466662782
"469","zaf","a",-3.51151485979827,5.83184600574473
"470","zaf","b",0.407582883619564,5.83184600574473
"471","zaf","c",-0.0118257812804559,5.83184600574473
"472","zmb","a",-2.95410160689461,2.45004950646636
"473","zmb","b",0.279893690874434,2.45004950646636
"474","zmb","c",-0.00662367847463709,2.45004950646636
